player,matches,inn,overs,maiden,runs,wkts,bb_inn,bb_match,avg,econ,sr,_4w,_5w,season
ST Gabriel (WI),4,4,75.0,17,230,5,2/65,2/65,46.00,3.06,90.0,0,0,2016
JM Holland (AUS),2,4,82.0,13,274,5,2/72,3/141,54.80,3.34,98.4,0,0,2016
K Rabada (SA),2,2,29.3,6,116,5,3/62,5/116,23.20,3.93,35.4,0,0,2016
UT Yadav (IND),2,4,49.0,15,149,5,4/41,5/75,29.80,3.04,58.8,0,0,2016
D Bishoo (WI),3,2,78.0,6,270,4,3/163,3/163,67.50,3.46,117.0,0,0,2016
VD Philander (SA),2,3,35.0,6,89,4,2/34,4/77,22.25,2.54,52.5,0,0,2016
DAJ Bracewell (NZ),2,3,53.2,17,170,3,1/19,2/117,56.66,3.18,106.6,0,0,2016
KC Brathwaite (WI),4,4,44.5,3,165,3,3/65,3/65,55.00,3.68,89.6,0,0,2016
PVD Chameera (SL),1,1,17.0,0,64,3,3/64,3/64,21.33,3.76,34.0,0,0,2016
MT Chinouya (ZIM),2,3,57.0,14,188,3,1/45,2/109,62.66,3.29,114.0,0,0,2016
MJ Guptill (NZ),4,3,9.0,5,16,3,3/11,3/11,5.33,1.77,18.0,0,0,2016
RA Jadeja (IND),1,2,29.3,10,47,3,2/20,3/47,15.66,1.59,59.0,0,0,2016
AS Joseph (WI),1,2,28.0,6,92,3,3/69,3/92,30.66,3.28,56.0,0,0,2016
SNJ O'Keefe (AUS),1,2,26.4,6,74,3,2/32,3/74,24.66,2.77,53.3,0,0,2016
MD Shanaka (SL),1,1,13.0,3,46,3,3/46,3/46,15.33,3.53,26.0,0,0,2016
TAM Siriwardana (SL),1,2,15.2,0,72,3,2/35,3/72,24.00,4.69,30.6,0,0,2016
BA Stokes (ENG),2,3,27.2,3,85,3,2/39,2/60,28.33,3.10,54.6,0,0,2016
DT Tiripano (ZIM),2,3,59.0,9,198,3,1/14,2/116,66.00,3.35,118.0,0,0,2016
JM Anderson (ENG),7,14,236.3,72,550,39,7/42,9/73,14.10,2.32,36.3,3,0,2017
MM Ali (ENG),7,14,192.0,36,639,30,6/53,10/112,21.30,3.32,38.4,2,1,2017
Yasir Shah (PAK),3,6,188.2,40,549,25,7/94,9/177,21.96,2.91,45.2,3,0,2017
ST Gabriel (WI),5,10,180.0,35,544,22,5/11,9/92,24.72,3.02,49.0,1,0,2017
NM Lyon (AUS),2,4,133.5,34,315,22,7/94,13/154,14.31,2.35,36.5,3,1,2017
SCJ Broad (ENG),7,14,227.1,59,678,20,3/34,5/81,33.90,2.98,68.1,0,0,2017
M Morkel (SA),4,8,159.0,34,501,19,4/41,7/179,26.36,3.15,50.2,0,0,2017
JO Holder (WI),6,11,212.0,56,523,18,4/54,6/65,29.05,2.46,70.6,0,0,2017
R Ashwin (IND),3,6,145.4,27,440,17,5/69,7/201,25.88,3.02,51.4,1,0,2017
KA Maharaj (SA),4,8,162.4,29,516,17,4/85,6/63,30.35,3.17,57.4,0,0,2017
TS Roland-Jones (ENG),4,8,89.2,23,334,17,5/57,8/129,19.64,3.73,31.5,1,0,2017
HMRKB Herath (SL),3,5,162.1,22,596,16,6/133,11/249,37.25,3.67,60.8,2,1,2017
K Rabada (SA),3,6,135.0,28,455,16,4/91,6/141,28.43,3.37,50.6,0,0,2017
BA Stokes (ENG),7,13,156.3,34,501,16,6/22,6/63,31.31,3.20,58.6,1,0,2017
Mohammad Abbas (PAK),3,6,126.0,33,288,15,5/46,6/77,19.20,2.28,50.4,1,0,2017
RL Chase (WI),6,8,144.0,17,528,13,4/103,5/134,40.61,3.66,66.4,0,0,2017
RA Jadeja (IND),2,4,108.2,18,374,13,5/152,7/236,28.76,3.45,50.0,1,0,2017
Mohammad Amir (PAK),3,6,129.0,48,227,13,6/44,7/64,17.46,1.75,59.5,1,0,2017
D Bishoo (WI),5,8,156.2,21,485,12,3/116,4/115,40.41,3.10,78.1,0,0,2017
