,player,country,matches,runs,highest_score,batting_avg,100s,wickets,best_bowling_innings,bowling_avg,5wicket_haul,catches_taken,stumping_made,avg_diff,year,allrounder_score
201,CJ Jordan ,ENG,4,3,3,1.5,0,4,3/42,35.75,0,3,0,-34.24,2018,-8.675
202,SF Mire ,ZIM,4,212,94,53.0,0,1,1/15,82.0,0,1,0,-28.99,2018,-8.3
203,B Muzarabani ,ZIM,4,1,1*,1.0,0,5,3/21,27.2,0,1,0,-26.19,2018,-5.86
204,AR Nurse ,WI,4,16,16,16.0,0,4,2/6,18.25,0,5,0,-2.24,2018,0.9250000000000007
205,MP O'Dowd ,NED,4,95,39,23.75,0,1,1/10,16.0,0,0,0,7.75,2018,2.7250000000000005
206,LE Plunkett ,ENG,4,12,9,12.0,0,3,2/34,45.0,0,1,0,-32.99,2018,-8.7
207,WB Rankin ,IRE,4,22,10,11.0,0,2,2/14,54.5,0,1,0,-43.49,2018,-12.249999999999998
208,AD Russell ,WI,4,120,47,60.0,0,4,2/25,30.25,0,1,0,29.75,2018,10.525000000000002
209,S Snater ,NED,4,8,6,4.0,0,4,2/25,24.75,0,1,0,-20.74,2018,-4.625
210,DJ Willey ,ENG,4,33,29*,33.0,0,4,1/18,29.0,0,0,0,4.0,2018,2.8000000000000007
211,Aftab Alam ,AFG,3,1,1,1.0,0,3,2/30,21.66,0,3,0,-20.66,2018,-4.998
212,W Barresi ,NED,3,102,53*,51.0,0,2,1/3,19.0,0,0,0,32.0,2018,10.399999999999999
213,TS Chisoro ,ZIM,3,7,6,3.5,0,2,2/28,42.5,0,0,0,-38.99,2018,-10.9
214,RR Emrit ,WI,3,12,11,6.0,0,3,1/24,38.0,0,0,0,-31.99,2018,-8.4
215,Karim Janat ,AFG,3,0,0,0.0,0,3,1/27,37.0,0,0,0,-36.99,2018,-9.899999999999999
216,Abu Jayed ,BAN,2,1,1,1.0,0,3,2/27,20.33,0,1,0,-19.33,2018,-4.598999999999999
217,MM Ali ,ENG,2,6,6,6.0,0,1,1/58,95.0,0,1,0,-88.99,2018,-26.3
218,CJ Chibhabha ,ZIM,2,18,18,9.0,0,1,1/29,48.0,0,0,0,-38.99,2018,-11.299999999999999
219,JB Little ,IRE,2,1,1*,1.0,0,3,2/20,22.66,0,0,0,-21.66,2018,-5.298
220,WP Masakadza ,ZIM,2,3,3,3.0,0,2,1/30,31.0,0,1,0,-27.99,2018,-7.599999999999999
221,Mohammad Hafeez ,PAK,2,7,7,3.5,0,2,2/3,1.5,0,0,0,2.0,2018,1.4000000000000001
222,Mosaddek Hossain ,BAN,2,14,14,7.0,0,2,2/21,12.0,0,2,0,-4.99,2018,-0.6999999999999993
223,CB Mpofu ,ZIM,2,3,3,3.0,0,1,1/31,84.0,0,1,0,-80.99,2018,-23.9
224,OF Smith ,WI,2,6,6,6.0,0,2,1/38,39.0,0,0,0,-32.99,2018,-9.1
225,T van der Gugten ,NED,2,13,13,6.5,0,1,1/47,72.0,0,0,0,-65.49,2018,-19.249999999999996
226,Abul Hasan ,BAN,1,5,5,5.0,0,2,2/40,20.0,0,0,0,-14.99,2018,-3.7
227,A Dananjaya ,SL,1,2,2,2.0,0,2,2/15,7.5,0,0,0,-5.49,2018,-0.8500000000000001
228,DM de Silva ,SL,1,31,31,31.0,0,2,2/22,11.0,0,0,0,20.0,2018,6.8
229,JP Duminy ,SA,1,3,3,3.0,0,1,1/2,2.0,0,0,0,1.0,2018,0.6999999999999998
230,TE Kane ,IRE,1,8,8,8.0,0,2,2/50,25.0,0,0,0,-16.99,2018,-4.3
231,K Rabada ,SA,1,0,0,0.0,0,2,2/24,12.0,0,0,0,-11.99,2018,-2.8
