,player,matches,runs,hs,batting_avg,_100,wkts,bb_inn,bowling_avg,_5w,catches_taken,stumping_made,avg_diff,season
294,NLTC Perera (SL),4,80,65,26.66,0,9,4/34,13.44,0,2,0,13.22,2014
295,Sharafuddin Ashraf (AFG),4,17,14,8.50,0,5,3/29,32.20,0,0,0,-23.69,2014
296,SPD Smith (AUS),4,78,36,19.50,0,4,3/16,11.25,0,4,0,8.25,2014
297,Sohag Gazi (BAN),4,28,24,9.33,0,3,1/7,54.33,0,2,0,-44.99,2014
298,MC Sorensen (IRE),4,41,17,20.50,0,6,4/40,23.33,0,1,0,-2.83,2014
299,WU Tharanga (SL),4,83,27,20.75,0,,,,,,,,
300,SR Thompson (IRE),4,97,39,32.33,0,2,1/15,25.00,0,2,0,7.33,2014
301,DT Tiripano (ZIM),4,4,3,2.00,0,9,5/63,20.88,1,0,0,-18.88,2014
302,CR Woakes (ENG),4,54,20,13.50,0,5,4/52,39.20,0,2,0,-25.69,2014
303,UT Yadav (IND),4,17,17,17.00,0,4,3/48,31.50,0,1,0,-14.49,2014
304,Abdur Razzak (BAN),3,21,16*,-,,,,,,,,,
305,Ahmed Shehzad (PAK),3,115,56,38.33,0,0,,,,,,,
306,J Anderson (IRE),3,40,19,13.33,0,0,,,,,,,
307,A Balbirnie (IRE),3,60,38,20.00,0,1,1/31,31.00,0,0,0,-10.99,2014
308,RD Berrington (SCOT),3,103,101*,103.00,1,2,1/19,33.00,0,1,0,70.00,2014
309,DJ Bravo (WI),3,14,6,7.00,0,5,4/32,12.80,0,0,0,-5.79,2014
310,DM Bravo (WI),3,184,124,61.33,1,,,,,,,,
311,RW Chakabva (ZIM),3,9,9,9.00,0,,,,,,,,
312,FRJ Coleman (SCOT),3,30,23,15.00,0,,,,,,,,
313,AC Evans (SCOT),3,31,22,31.00,0,3,2/34,31.33,0,0,0,-0.33,2014
314,Fawad Alam (PAK),3,130,62,65.00,0,0,,,,,,,
315,ST Finn (ENG),3,8,6,4.00,0,3,2/37,41.66,0,1,0,-37.66,2014
316,HJW Gardiner (SCOT),3,112,89,37.33,0,,,,,,,,
317,CH Gayle (WI),3,67,58,22.33,0,1,1/19,77.00,0,1,0,-54.66,2014
318,JO Holder (WI),3,30,22*,30.00,0,3,1/17,34.33,0,0,0,-4.33,2014
319,Imrul Kayes (BAN),3,11,9,3.66,0,,,,,,,,
