,player,matches,runs,hs,batting_avg,_100,wkts,bb_inn,bowling_avg,_5w,catches_taken,stumping_made,avg_diff,season
275,JE Taylor (WI),4,21,15,3.50,0,19,6/47,19.26,1,0,0,-15.76,2015
276,Wahab Riaz (PAK),4,28,14,5.60,0,12,3/55,31.50,0,1,0,-25.89,2015
277,Ahmed Shehzad (PAK),3,143,69,28.60,0,,,,,,,,
278,JM Bairstow (ENG),3,118,74,29.50,0,,,,,,,,
279,S Chanderpaul (WI),3,92,46,15.33,0,,,,,,,,
280,ST Finn (ENG),3,9,9*,-,,,,,,,,,
281,ST Gabriel (WI),3,22,20*,7.33,0,7,2/47,30.42,0,0,0,-23.09,2015
282,BJ Haddin (AUS),3,59,22,14.75,0,,,,,,,,
283,SD Hope (WI),3,94,36,15.66,0,,,,,,,,
284,CJ Jordan (ENG),3,55,21*,13.75,0,6,2/65,42.66,0,6,0,-28.91,2015
285,Jubair Hossain (BAN),3,0,0*,0.00,0,5,3/53,34.20,0,1,0,-34.19,2015
286,Litton Das (BAN),3,97,50,32.33,0,,,,,,,,
287,MR Marsh (AUS),3,48,27*,12.00,0,8,3/30,18.62,0,1,0,-6.62,2015
288,SE Marsh (AUS),3,114,69,22.80,0,,,,,,,,
289,A Mishra (IND),3,157,59,26.16,0,15,4/43,15.00,0,1,0,11.16,2015
290,J Mubarak (SL),3,131,49,21.83,0,0,,,,,,,
291,KL Rahul (IND),3,126,108,21.00,1,,,,,,,,
292,KAJ Roach (WI),3,41,15*,8.20,0,7,4/94,57.71,0,0,0,-49.51,2015
293,WP Saha (IND),3,137,60,34.25,0,,,,,,,,
294,Shuvagata Hom (BAN),3,80,39,26.66,0,5,2/76,53.20,0,2,0,-26.53,2015
295,Soumya Sarkar (BAN),3,107,37,21.40,0,1,1/45,115.00,0,0,0,-93.59,2015
296,IJL Trott (ENG),3,72,59,12.00,0,0,,,,,,,
297,SR Watson (AUS),3,85,30,21.25,0,1,1/3,77.00,0,3,0,-55.74,2015
298,UT Yadav (IND),3,14,4*,7.00,0,5,2/65,52.60,0,1,0,-45.59,2015
